Municipio,pob,area,densidad
Monterrey,"1,142,994",892,"1,281.38"
Apodaca,"656,464",238.03,"2,757.90"
Guadalupe,"643,143",117.79,"5,460.08"
General Escobedo,"481,213",151.27,"3,181.15"
JuÃ¡rez,"471,523",247,"1,909.00"
San Nicolás de los Garza,"412,199",60.1,"6,858.55"
García,"397,205","1,040.01",381.92
Santa Catarina,"306,622",885.01,346.46
PesquerÃ­a,"147,624",308.89,477.92
San Pedro Garza GarcÃ­a,"132,169",72.01,"1,835.43"
Cadereyta JimÃ©nez,"122,337","1,140.97",107.22
El Carmen,"104,478",102.38,"1,020.49"
General Zuazua,"102,149",184.87,552.55
Salinas Victoria,"86,766","1,658.08",52.33
Linares,"84,666","2,539.67",33.34
Ciénega de Flores,"68,747",146.5,469.26
Montemorelos,"67,428","1,869.30",36.07
Santiago,"46,784",746.48,62.67
Galeana,"40,903","7,010.79",5.83
Doctor Arroyo,"36,088","5,091.18",7.09
Allende,"35,289",190.52,185.22
Sabinas Hidalgo,"34,709","1,542.15",22.51
Anáhuac,"18,030","4,572.87",3.94
Hidalgo,"16,086",170.12,94.56
Aramberri,"14,992","2,664.80",5.63
General TerÃ¡n,"14,109","2,479.16",5.69
China,"9,930","4,292.05",2.31
Mier y Noriega,"7,652","1,006.78",7.60
Cerralvo,"7,340","1,006.89",7.29
Hualahuises,"7,026",127.8,54.98
General Zaragoza,"6,282","1,314.52",4.78
Mina,"6,048","3,872.26",1.56
General Bravo,"5,506","1,894.80",2.91
Los Ramones,"5,389","1,341.58",4.02
Lampazos de Naranjo,"5,351","3,428.68",1.56
MarÃ­n,"5,119",264.23,19.37
Bustamante,"3,661",465.62,7.86
Villaldama,"3,573",879.68,4.06
Agualeguas,"3,382",978.99,3.45
Iturbide,"3,298",561.88,5.87
Doctor GonzÃ¡lez,"3,256",615.78,5.29
Abasolo,"2,974",47.45,62.68
Rayones,"2,377",673.76,3.53
Los Herreras,"1,959",497.27,3.94
General TreviÃ±o,"1,808",388.05,4.66
Vallecillo,"1,552","1,766.28",0.88
Melchor Ocampo,"1,483",207.92,7.13
Los Aldamas,"1,407",778,1.81
Higueras,"1,386",444.11,3.12
Doctor Coss,"1,360",720.74,1.89
Parás,906,"1,172.66",0.77